Country,PeakMBPS_Q32013
AD,32889
AE,36043
AF,8943
AG,8501
AI,10534
AL,20334
AM,15645
AO,9517
AR,15906
AS,10654
AT,30367
AU,30133
AW,19441
AZ,12914
BA,15679
BB,18351
BD,8802
BE,38496
BF,5887
BG,36981
BH,15058
BI,50166
BJ,10857
BL,9803
BM,12975
BN,21322
BO,8271
BQ,13883
BR,16737
BS,26281
BT,13059
BW,5050
BY,10224
BZ,7570
CA,34834
CD,5852
CF,5711
CG,5930
CH,38392
CI,12866
CK,26542
CL,17188
CM,6459
CN,11264
CO,15402
CR,10014
CU,2930
CV,16265
CW,28005
CY,19280
CZ,34787
DE,30443
DJ,8385
DK,29888
DM,13980
DO,11499
DZ,8617
EC,18499
EE,23482
EG,8955
EH,1152
ER,3679
ES,26803
ET,12282
EU,31395
FI,29707
FJ,11186
FK,8908
FM,5016
FO,19875
FR,22072
GA,7469
GB,35687
GD,20978
GE,18248
GF,12436
GG,24512
GH,14647
GI,15773
GL,11336
GM,8972
GN,6197
GP,11992
GQ,5826
GR,21322
GT,11007
GU,18111
GW,3667
GY,7817
HK,65438
HN,11668
HR,16069
HT,14504
HU,31125
ID,9697
IE,31782
IL,47730
IM,26412
IN,8976
IO,4102
IQ,27521
IR,4586
IS,31855
IT,18236
JE,20512
JM,27840
JO,13147
JP,51968
KE,4349
KG,13137
KH,18310
KI,31601
KM,5763
KN,17062
KP,22088
KR,63553
KW,36370
KY,18028
KZ,15053
LA,10569
LB,11388
LC,17618
LI,30985
LK,11560
LR,18038
LS,5370
LT,31214
LU,23624
LV,43139
LY,5646
MA,12650
MC,28672
MD,24689
ME,18266
MF,14765
MG,8095
MH,12060
MK,18612
ML,4819
MM,21189
MN,20684
MO,34374
MP,9492
MQ,14774
MR,9728
MS,24353
MT,24889
MU,10627
MV,11754
MW,7682
MX,17138
MY,24872
MZ,6806
NA,4889
NC,19078
NE,4794
NF,17273
NG,8369
NI,12272
NL,39558
NO,28221
NP,9596
NR,4380
NU,6891
NZ,20483
OM,11906
PA,11735
PE,13227
PF,13607
PG,8082
PH,16067
PK,9698
PL,27731
PM,18310
PR,27121
PS,19855
PT,32747
PW,6086
PY,8467
QA,29720
RE,14098
RO,45395
RS,19510
RU,32625
RW,7574
SA,14526
SB,7191
SC,10062
SD,7273
SE,33075
SG,50142
SI,24420
SK,27029
SL,8064
SM,17549
SN,7922
SO,12692
SR,10210
SS,8066
ST,9934
SV,13414
SX,32360
SY,8045
SZ,5207
TC,10062
TD,3997
TF,45208
TG,7426
TH,30377
TJ,8857
TK,10132
TL,11598
TM,9557
TN,11056
TO,9536
TR,20878
TT,21208
TV,11118
TW,42740
TZ,9239
UA,26082
UG,7603
UM,960
US,36950
UY,13488
UZ,8827
VA,81370
VC,21252
VE,7972
VG,12986
VI,16926
VN,11398
VU,60659
WF,36014
WS,7216
YE,8197
YT,14164
ZA,6831
ZM,7063
ZW,9337
