Country,LowBroadband_Q313
AD,0.0009
AE,0.0028
AF,0.0715
AG,0.0049
AI,0.0051
AL,0.0011
AM,0.0035
AO,0.011
AR,0.0153
AS,0.0572
AT,0.0014
AU,0.0067
AW,0.0005
AZ,0.0036
BA,0.0009
BB,0.001
BD,0.0365
BE,0.0012
BF,0.1643
BG,0.0003
BH,0.0009
BI,0.1184
BJ,0.2286
BL,0.0164
BM,0.0066
BN,0.0072
BO,0.0506
BQ,0.0011
BR,0.014
BS,0.0013
BT,0.0202
BW,0.1643
BY,0.0095
BZ,0.0786
CA,0.0051
CD,0.2808
CF,0.0945
CG,0.3013
CH,0.0011
CI,0.0031
CK,0.0031
CL,0.0019
CM,0.268
CN,0.0125
CO,0.0009
CR,0.0061
CU,0.7799
CV,0.0012
CW,0.0002
CY,0.0013
CZ,0.0006
DE,0.0015
DJ,0.0078
DK,0.0024
DM,0.0038
DO,0.0052
DZ,0.0054
EC,0.0016
EE,0.0013
EG,0.0075
EH,0
ER,0.8161
ES,0.0021
ET,0.4506
EU,0.0082
FI,0.0015
FJ,0.0129
FK,0.0007
FM,0.6155
FO,0.001
FR,0.0009
GA,0.1231
GB,0.0087
GD,0.0002
GE,0.0013
GF,0.0061
GG,0.0003
GH,0.0109
GI,0.0003
GL,0.0012
GM,0.15
GN,0.0482
GP,0.0053
GQ,0.0888
GR,0.0005
GT,0.003
GU,0.016
GW,0.3333
GY,0.0642
HK,0.0017
HN,0.0077
HR,0.0019
HT,0.0287
HU,0.003
ID,0.0165
IE,0.0033
IL,0.0017
IM,0.0066
IN,0.068
IO,0.1309
IQ,0.0049
IR,0.0986
IS,0.0011
IT,0.0023
JE,0.0003
JM,0.0005
JO,0.0008
JP,0.0058
KE,0.03
KG,0.0145
KH,0.0055
KI,0
KM,0.0226
KN,0.0002
KP,0
KR,0.001
KW,0.0032
KY,0.004
KZ,0.0322
LA,0.0087
LB,0.0037
LC,0.0001
LI,0.0005
LK,0.0173
LR,0.0642
LS,0.1368
LT,0.0032
LU,0.0015
LV,0.0008
LY,0.0066
MA,0.0027
MC,0.0004
MD,0.0014
ME,0.0009
MF,0.0003
MG,0.0245
MH,0.0377
MK,0.0005
ML,0.1002
MM,0.072
MN,0.0015
MO,0.0003
MP,0.0066
MQ,0.0031
MR,0.0516
MS,0.0024
MT,0.0004
MU,0.0349
MV,0.0189
MW,0.0525
MX,0.0042
MY,0.0019
MZ,0.0179
NA,0.0242
NC,0.0093
NE,0.1987
NF,0.0047
NG,0.0512
NI,0.0018
NL,0.0024
NO,0.0015
NP,0.0056
NR,0.0851
NU,0.1471
NZ,0.0133
OM,0.0062
PA,0.0027
PE,0.0025
PF,0.0003
PG,0.1177
PH,0.0042
PK,0.0038
PL,0.0008
PM,0
PR,0.0033
PS,0.0024
PT,0.0007
PW,0.5821
PY,0.0021
QA,0.0014
RE,0.0558
RO,0.0007
RS,0.0053
RU,0.0033
RW,0.0973
SA,0.0013
SB,0.1769
SC,0.0641
SD,0.0173
SE,0.0024
SG,0.0014
SI,0.0016
SK,0.0008
SL,0.0772
SM,0.0038
SN,0.0054
SO,0.3031
SR,0.0013
SS,0.0135
ST,0.0141
SV,0.001
SX,0.0005
SY,0.0231
SZ,0.1012
TC,0.0028
TD,0.29
TF,0
TG,0.0812
TH,0.0017
TJ,0.0919
TK,0
TL,0.0701
TM,0.2331
TN,0.003
TO,0.0438
TR,0.0007
TT,0.0085
TV,0.1364
TW,0.0008
TZ,0.0222
UA,0.0963
UG,0.1718
UM,0
US,0.014
UY,0.0029
UZ,0.0437
VA,0
VC,0.0002
VE,0.0146
VG,0.0002
VI,0.0025
VN,0.0208
VU,0.0007
WF,0.002
WS,0.071
YE,0.0224
YT,0.0194
ZA,0.028
ZM,0.1007
ZW,0.1009
