AD,75.63
AE,42.98
AF,0.99
AG,2.73
AI,5.78
AL,33.7
AM,17.82
AO,2.34
AR,18.19
AS,7.86
AT,80.58
AU,50.58
AW,46.06
AZ,8.55
BA,23.09
BB,26.09
BD,1.09
BE,77.86
BF,0.42
BG,80.72
BH,3.63
BI,5.7
BJ,3.39
BL,0
BM,17.25
BN,9.87
BO,0.76
BQ,15.23
BR,20.34
BS,73.88
BT,2.02
BW,0.63
BY,11.12
BZ,4.36
CA,81.81
CD,0.07
CF,0.23
CG,0.48
CH,89.63
CI,2.7
CK,15.45
CL,23.91
CM,1.46
CN,19.82
CO,17.69
CR,4.22
CU,0.63
CV,13.77
CW,87.19
CY,40.58
CZ,82.82
DE,74.89
DJ,1.47
DK,81.03
DM,6.31
DO,2.41
DZ,0.29
EC,24.87
EE,54.72
EG,0.66
EH,0
ER,0
ES,70.72
ET,2.84
EU,32.53
FI,67.2
FJ,2.25
FK,0.66
FM,0.07
FO,71.07
FR,68.52
GA,1.36
GB,77.38
GD,39.12
GE,39.39
GF,8.93
GG,80.28
GH,7.96
GI,24.62
GL,5.56
GM,6.34
GN,0.81
GP,11.19
GQ,1.45
GR,44.91
GT,3.2
GU,22.18
GW,3.45
GY,0.92
HK,80.81
HN,10.86
HR,30.67
HT,4.7
HU,65.3
ID,1.79
IE,65.7
IL,79.82
IM,84.59
IN,3.02
IO,0.11
IQ,15.13
IR,1.9
IS,67.48
IT,48.65
JE,27.46
JM,44.16
JO,3.84
JP,82.68
KE,2.1
KG,12.33
KH,5.12
KI,5.48
KM,0.9
KN,11.18
KP,37.5
KR,92.76
KW,8.02
KY,27.21
KZ,30.23
LA,1.13
LB,1.22
LC,19.63
LI,90.77
LK,8.02
LR,18.94
LS,2.96
LT,66.18
LU,73.53
LV,75.74
LY,0.38
MA,13.04
MC,86.35
MD,66.88
ME,18.92
MF,14.7
MG,1.33
MH,3.3
MK,34.8
ML,0.72
MM,5.93
MN,7.7
MO,55.62
MP,0.79
MQ,17.59
MR,0.92
MS,40.33
MT,62.79
MU,5.41
MV,1.31
MW,0.79
MX,32.64
MY,27.4
MZ,1.91
NA,1.31
NC,29.23
NE,1.05
NF,27.7
NG,2.83
NI,2.15
NL,86.82
NO,52.05
NP,5.17
NR,1.42
NU,0.98
NZ,53.93
OM,2.9
PA,14.41
PE,3.64
PF,5.89
PG,2.47
PH,2.6
PK,0.47
PL,67.5
PM,67.49
PR,54.48
PS,3.56
PT,64.21
PW,3.63
PY,0.61
QA,14.98
RE,65.47
RO,77.75
RS,31.86
RU,72.64
RW,3.44
SA,9.09
SB,0.45
SC,1.98
SD,2.65
SE,63.82
SG,67.5
SI,48.45
SK,57.45
SL,2.41
SM,49.93
SN,0.74
SO,9.96
SR,2.2
SS,1.35
ST,7.5
SV,1.57
SX,22.06
SY,1.59
SZ,0.53
TC,4.13
TD,0.09
TF,100
TG,2.55
TH,54.32
TJ,1.43
TK,70.31
TL,0.4
TM,8.94
TN,1.55
TO,2.19
TR,34.54
TT,40.42
TV,4.55
TW,60.69
TZ,3.2
UA,61.88
UG,1.63
UM,0
US,74.64
UY,4.45
UZ,2.65
VA,88.57
VC,27.14
VE,1.45
VG,3.39
VI,27.01
VN,4.05
VU,26.51
WF,12.14
WS,1.98
YE,0.17
YT,15.82
ZA,7.69
ZM,1.75
ZW,4.75
