AD,22377
AE,1497176
AF,13972
AG,16245
AI,4481
AL,78001
AM,339787
AO,106112
AR,6701602
AS,2953
AT,2159860
AU,8442708
AW,23630
AZ,340308
BA,490791
BB,61047
BD,153548
BE,4589075
BF,10569
BG,1485215
BH,125444
BI,456
BJ,5316
BL,61
BM,27994
BN,13196
BO,158308
BQ,5504
BR,25062114
BS,64739
BT,4009
BW,23347
BY,1420359
BZ,11699
CA,13980416
CD,5559
CF,434
CG,2496
CH,3490719
CI,47734
CK,2615
CL,3582682
CM,33702
CN,113395929
CO,5386579
CR,437121
CU,5697
CV,11232
CW,43004
CY,273282
CZ,1701577
DE,36181707
DJ,1911
DK,2907011
DM,7333
DO,654830
DZ,832338
EC,750154
EE,442491
EG,2959976
EH,1
ER,174
ES,13175151
ET,5812
EU,1709
FI,2775878
FJ,27481
FK,1370
FM,1441
FO,16394
FR,26990783
GA,22575
GB,23775933
GD,13156
GE,430744
GF,39402
GG,23179
GH,51520
GI,13814
GL,9318
GM,2506
GN,2470
GP,117656
GQ,2343
GR,3147124
GT,252127
GU,49289
GW,87
GY,20123
HK,2872008
HN,79701
HR,1374618
HT,21063
HU,2709658
ID,5790693
IE,1385609
IL,2245183
IM,28260
IN,18370487
IO,909
IQ,357525
IR,3699200
IS,168829
IT,10079030
JE,31288
JM,144069
JO,273807
JP,40008677
KE,1265752
KG,106495
KH,55853
KI,146
KM,2878
KN,8071
KP,32
KR,21169590
KW,375655
KY,21729
KZ,1718007
LA,14542
LB,220260
LC,13774
LI,14605
LK,169048
LR,623
LS,41077
LT,782578
LU,165112
LV,581307
LY,68997
MA,1302824
MC,16688
MD,490049
ME,81726
MF,12804
MG,30467
MH,424
MK,419542
ML,12801
MM,2292
MN,37773
MO,156472
MP,7685
MQ,96397
MR,5776
MS,1225
MT,177383
MU,199344
MV,21212
MW,9105
MX,11635801
MY,1723120
MZ,99849
NA,192304
NC,50722
NE,5904
NF,213
NG,119869
NI,101354
NL,8279527
NO,3680640
NP,242664
NR,141
NU,102
NZ,2107682
OM,264485
PA,482541
PE,1276731
PF,32356
PG,4409
PH,1252186
PK,1757677
PL,6903746
PM,2482
PR,507100
PS,235805
PT,3458370
PW,524
PY,84429
QA,273127
RE,2004182
RO,2859671
RS,1140210
RU,17428604
RW,4277
SA,3978709
SB,1340
SC,8933
SD,382524
SE,6889643
SG,1531297
SI,832183
SK,942964
SL,1036
SM,7120
SN,93740
SO,452
SR,34062
SS,446
ST,1841
SV,186971
SX,10136
SY,667681
SZ,3931
TC,6031
TD,1176
TF,1
TG,1096
TH,3313958
TJ,10069
TK,64
TL,756
TM,369
TN,806729
TO,1369
TR,8090786
TT,202353
TV,22
TW,10021404
TZ,29643
UA,5371168
UG,9994
UM,1
US,121031092
UY,717490
UZ,60182
VA,35
VC,16108
VE,2130648
VG,6107
VI,17179
VN,5296163
VU,2720
WF,2027
WS,1367
YE,54339
YT,11361
ZA,6418777
ZM,11110
ZW,14486
